,titulo,ubicacion,precio,Superficie,Habitaciones,Baños,Planta,Conservacion,Gastos de Comunidad,Amueblado,Balcon,Ascensor,Calefaccion,Garaje,Terraza,Trastero
722,Piso en venta en Eduardo Pondal,Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),295000,118.0,3.0,2.0,Planta: 6ª,En buen estado,0,1,0,1,Gas natural,0,1,0
723,Piso en venta en Calle Arquiteto de La Sota,Centro-Echegaray (Pontevedra Capital),325000,150.0,4.0,3.0,Planta: 2ª,En buen estado,0,1,0,0,Gas natural,1,0,0
724,"Piso en venta en Calle de Tomás Paredes, 116, cerca de Avenida de Castelao",Coia (Distrito Casco Urbano. Vigo),99900,104.0,3.0,2.0,Planta: 3ª,A reformar,0,1,0,0,No tiene,0,1,1
725,Piso en venta en Calle Aragón,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),87000,51.0,2.0,1.0,Planta: 2ª,En buen estado,Entre 20 y 40€,0,0,0,No tiene,0,0,0
726,Piso en venta en Calle de la Cruz Gallastegui,Zona Praza de Barcelos (Pontevedra Capital),275000,130.0,4.0,2.0,,En buen estado,Entre 80 y 100€,1,0,1,No tiene,1,0,1
727,Piso en venta en Avenida de Castelao,Ponteareas,145000,100.0,3.0,2.0,Planta: 4ª,A estrenar,Entre 40 y 60€,1,0,1,Gas natural,1,1,0
728,Piso en venta en Castrelos-Balaídos-Miñoca,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),170000,61.0,2.0,1.0,Planta: 1ª,En buen estado,0,1,0,1,"Si, sin especificar",1,0,0
729,"Piso en venta en Calle de Urzáiz, 109, cerca de Calle de Pizarro",Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),95000,80.0,3.0,1.0,Planta: 3ª,A reformar,0,0,1,0,No tiene,0,1,0
730,Apartamento en venta en Calle Rosalía de Castro,Poio (San Salvador),148000,77.0,2.0,2.0,Planta: 3ª,En buen estado,0,1,0,1,Gas natural,1,0,0
731,Piso en venta en Calle de los Maestros,Ponteareas,110000,110.0,3.0,2.0,Planta: 3ª,En buen estado,0,1,0,1,Gas natural,1,0,0
732,Apartamento en venta en Calle de Gerona,Praza da Independencia (Distrito Casco Urbano. Vigo),180000,100.0,2.0,1.0,Planta: 3ª,En buen estado,0,0,0,1,No tiene,1,1,0
733,Piso en venta en Rúa Fontoura,Salvaterra de Miño,127000,110.0,3.0,2.0,Planta: 1ª,A estrenar,0,1,0,1,Central,1,0,0
734,Piso en venta en Fátima-Travesía de Vigo-San Xoán,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),280000,126.0,4.0,2.0,Planta: 6ª,En buen estado,0,1,1,1,No tiene,0,0,0
735,"Piso en venta en Calle de San Roque, 5, cerca de Baixada de San Roque",A Salgueira-O Castaño (Distrito Casco Urbano. Vigo),242000,97.0,2.0,2.0,Planta: 6ª,A estrenar,0,1,0,1,Energía renovable,0,1,0
736,Piso en venta en Rúa Nova,Cambados,140000,111.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,No tiene,0,0,0
737,Piso en venta en Calle de la Estrada,Marín,100000,90.0,4.0,2.0,Planta: 1ª,En buen estado,0,0,0,1,Calefacción individual,0,0,1
738,Piso en venta en Adina (Santa María),Adina (Santa María). Municipio de Sanxenxo,200000,140.0,4.0,2.0,,En buen estado,0,1,0,1,Individual,0,1,0
739,"Piso en venta en Calle Manuel Suárez Marquier, 1",Calvario (O Rosal),96000,85.0,2.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Central,1,0,0
740,Piso en venta en Calle de Paraguay,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),142500,73.0,2.0,2.0,Planta: 3ª,En buen estado,Entre 60 y 80€,1,0,0,No tiene,0,0,0
741,Piso en venta en Carretera de la Circunvalación,A Guarda,89000,98.0,3.0,2.0,Planta: 1ª,En buen estado,50.00 euros.,0,0,0,Gasóleo individual,0,0,1
742,Piso en venta en Arenal-Centro,Centro-Areal (Distrito Casco Urbano. Vigo),395000,100.0,3.0,2.0,Planta: 4ª,A estrenar,0,1,0,1,Aerotermia,1,0,0
743,Piso en venta en Calle del Xogo de la Ola,O Porriño,159000,110.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,1,1,Gas natural,1,0,0
744,Piso en venta en Casablanca-Corte Inglés,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),290000,87.0,2.0,2.0,Planta: 2ª,En buen estado,0,1,1,1,Aerotermia,0,1,1
745,Piso en venta en Calle de Rosalía de Castro,Salvaterra de Miño,117000,78.0,2.0,2.0,Planta: 1ª,A estrenar,0,0,0,0,No tiene,1,0,1
746,Piso en venta en A Guarda,A Guarda,210000,157.0,3.0,2.0,Planta: 2ª,En buen estado,Más de 100€,1,1,1,Central,1,0,0
747,Piso en venta en Calle de Julio Sesto,Calvario (O Rosal),106000,91.0,3.0,2.0,,En buen estado,Entre 40 y 60€,1,1,1,No tiene,0,0,1
748,Piso en venta en Calle de Jesús Fernández,Casablanca-Calvario (Distrito Casco Urbano. Vigo),135000,87.0,2.0,1.0,Planta: 4ª,En buen estado,0,0,0,1,No tiene,0,0,1
749,Piso en venta en Vilagarcía de Arousa,Vilagarcía de Arousa,145000,133.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Eléctrica,1,1,0
750,"Piso en venta en Calle de Zaragoza, 44",O Castro (Distrito Casco Urbano. Vigo),245000,95.0,2.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Gas natural,1,0,0
751,Piso en venta en Ribadumia,Ribadumia,87000,83.0,3.0,2.0,Planta: 2ª,En buen estado,0,1,0,0,No tiene,0,1,1
752,Piso en venta en Calle Isidoro Enes,Mondariz-Balneario,88000,95.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Eléctrica,1,0,0
753,"Piso en venta en Calle de Tomás Paredes, cerca de Calle de la Pardaíña",Bouzas (Distrito Casco Urbano. Vigo),99900,89.0,3.0,2.0,Planta: 3ª,A reformar,0,1,1,0,No tiene,0,1,0
754,"Piso en venta en Avenida Doctor Otero Ulloa, nº 145",Aguete (Marín),128200,157.0,2.0,2.0,Planta: 2ª,En buen estado,0,1,0,1,Eléctrica,1,1,1
755,"Piso en venta en Avenida del Outeiro, 26",Raxo (San Gregorio). Municipio de Poio,90750,50.0,1.0,1.0,Planta: 3ª,En buen estado,0,1,0,1,No tiene,1,1,0
756,Piso en venta en Rúa de Lugo,Salceda de Caselas,106320,97.0,2.0,2.0,Planta: 2ª,En buen estado,0,1,0,0,"Si, sin especificar",1,0,0
757,Piso en venta en Travesia de Vigo,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),163000,115.0,4.0,2.0,Planta: Bajo,En buen estado,0,1,0,1,No tiene,0,1,1
758,Piso en venta en Lavadores,Lavadores (Vigo),230000,158.0,3.0,2.0,Planta: 1ª,En buen estado,Entre 60 y 80€,1,1,1,No tiene,1,1,0
759,Piso en venta en El Real,Moaña (Casco Urbano),140000,110.0,4.0,2.0,Planta: 3ª,En buen estado,0,1,0,1,"Si, sin especificar",0,0,0
760,Apartamento en venta en Circunvalación de Pontevedra,Campo da Torre-Mollabao (Pontevedra Capital),160000,89.0,2.0,2.0,Planta: 1ª,En buen estado,0,0,0,0,No tiene,0,0,0
761,Piso en venta en Aragón-Travesía,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),225000,104.0,3.0,2.0,Planta: 6ª,En buen estado,0,0,0,0,No tiene,1,0,1
762,Piso en venta en Travesia de Vigo,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),165000,116.0,3.0,1.0,Planta: Bajo,En buen estado,Entre 10 y 20€,0,1,1,No tiene,0,0,0
763,Piso en venta en Calle Ramos Peinador,Mondariz-Balneario,89000,88.0,2.0,4.0,Planta: 2ª,En buen estado,Entre 40 y 60€,1,0,1,Gas natural,1,0,0
764,Piso en venta en Coia,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),250000,139.0,4.0,2.0,Planta: 6ª,En buen estado,0,1,0,1,Gasóleo colectivo,0,0,1
765,Piso en venta en Coia,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),250000,139.0,4.0,2.0,Planta: 6ª,En buen estado,0,1,0,1,Gasóleo colectivo,0,0,1
766,Piso en venta en Calle Poligono Torneiros III,Torneiros (O Porriño),78000,100.0,4.0,1.0,Planta: 1ª,En buen estado,0,1,0,1,Gas natural,0,0,1
767,Piso en venta en Calle del Xogo de la Ola,O Porriño,125000,77.0,2.0,2.0,Planta: 3ª,En buen estado,0,1,1,1,Gas natural,1,0,0
768,Piso en venta en Casablanca-Corte Inglés,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),349000,123.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,0,Gas individual,1,0,0
769,Piso en venta en Avda. de Camelias,Berbés-Peritos (Distrito Casco Urbano. Vigo),220000,103.0,3.0,2.0,Planta: Bajo,En buen estado,0,1,0,1,No tiene,0,0,0
770,Piso en venta en Barcelos,Zona Praza de Barcelos (Pontevedra Capital),295000,100.0,3.0,2.0,Planta: 2ª,En buen estado,0,1,0,1,Propano,1,0,0
771,Piso en venta en Calle Rua 5º Travesia Oliva,A Guarda,75000,105.0,3.0,1.0,Planta: 1ª,A reformar,0,1,1,0,No tiene,0,0,0
772,Piso en venta en Calle Avenida Xosé María Castroviejo,Cangas,195000,127.0,2.0,2.0,,En buen estado,0,0,0,1,No tiene,1,1,0
773,"Piso en venta en Calle de Echegaray, 29",Marín,67600,72.0,3.0,1.0,Planta: 1ª,A reformar,Entre 20 y 40€,1,0,0,No tiene,0,0,0
774,Piso en venta en Sanxenxo,Sanxenxo,240000,66.0,2.0,2.0,,En buen estado,0,1,0,1,Individual,0,1,1
775,Piso en venta en Peregrina,Zona Praza de Barcelos (Pontevedra Capital),475000,140.0,3.0,3.0,Planta: 2ª,En buen estado,0,1,0,1,Suelo radiante,1,0,0
776,Piso en venta en Calle de Baratillo,Areas (Ponteareas),130000,95.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Gas natural,1,0,0
777,"Piso en venta en Carretera de Redondela, 148",Teis (Vigo),155000,61.0,2.0,2.0,Planta: 1ª,A estrenar,0,1,0,1,Gas natural,1,0,0
778,Piso en venta en Vilagarcía de Arousa,Vilagarcía de Arousa,120000,78.0,2.0,2.0,Planta: 2ª,En buen estado,Entre 40 y 60€,1,0,1,Gas natural,1,0,0
779,Piso en venta en Calle de la Cañiza,Alcabre-Navia-Comesaña (Vigo),176000,73.0,2.0,2.0,Planta: 1ª,A estrenar,0,1,0,1,Aerotermia,1,1,0
780,Piso en venta en Isla de Arosa,Isla de Arosa (A Illa de Arousa),140000,80.0,3.0,1.0,Planta: 1ª,En buen estado,0,1,0,0,Eléctrica,0,0,1
781,Piso en venta en Ponteareas,Ponteareas,130000,101.0,3.0,2.0,Planta: 4ª,En buen estado,47.00 euros.,1,0,1,Eléctrica,1,0,0
782,Piso en venta en Aragón-Travesía,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),150000,32.0,1.0,1.0,Planta: 2ª,En buen estado,0,1,0,0,Bomba de calor,1,1,0
783,Piso en venta en Calle de Casimiro Gómez,Zona Praza de Barcelos (Pontevedra Capital),165000,80.0,3.0,1.0,Planta: 5ª,En buen estado,0,1,0,1,Eléctrica,0,0,0
784,Piso en venta en Gorgullón,Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),480000,160.0,4.0,3.0,Planta: 5ª,En buen estado,0,1,1,1,Gas,0,1,1
785,Piso en venta en Casablanca-Calvario,Casablanca-Calvario (Distrito Casco Urbano. Vigo),173000,78.0,3.0,1.0,Planta: 6ª,A reformar,0,1,1,1,No tiene,0,1,0
786,Piso en venta en Travesía de Vigo,Casablanca-Calvario (Distrito Casco Urbano. Vigo),149000,100.0,2.0,1.0,Planta: 9ª,A reformar,Entre 60 y 80€,1,0,1,No tiene,0,1,0
787,Piso en venta en Calle de Iglesias Vilarelle,Campo da Torre-Mollabao (Pontevedra Capital),185000,120.0,4.0,2.0,Planta: 3ª,Reformado,70,1,1,1,No tiene,0,1,1
788,Piso en venta en Vilagarcía de Arousa,Vilagarcía de Arousa,165000,98.0,3.0,2.0,Planta: 4ª,En buen estado,0,1,0,1,Gas natural,1,0,0
789,"Piso en venta en Avenida del Outeiro, 26",Raxo (San Gregorio). Municipio de Poio,114400,86.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,No tiene,1,0,0
790,Piso en venta en Calle Remedios Álvarez (Barrantes),Ribadumia,130000,107.0,2.0,2.0,Planta: 2ª,En buen estado,0,1,0,1,No tiene,1,0,0
791,Piso en venta en Calle de Rosalía de Castro,Sanxenxo,225000,85.0,2.0,1.0,Planta: 1ª,En buen estado,0,1,1,1,No tiene,0,1,0
792,Piso en venta en Avenida del Porto,Sanxenxo,395000,180.0,4.0,3.0,Planta: 1ª,En buen estado,0,1,1,0,Eléctrica,0,0,0
793,"Piso en venta en Avenida das Camelias, cerca de Calle de Romil",Camelias-Pi y Margall (Distrito Casco Urbano. Vigo),350000,180.0,5.0,4.0,,A reformar,0,1,1,1,Gasóleo colectivo,1,0,0
794,"Piso en venta en Calle de Colón, 11",Centro-Areal (Distrito Casco Urbano. Vigo),760000,204.0,4.0,4.0,Planta: 3ª,En buen estado,0,0,0,1,Calefacción individual,0,0,1
795,Piso en venta en Salnés,Cambados,165000,115.0,3.0,2.0,Planta: Bajo,En buen estado,0,0,0,1,No tiene,0,1,0
796,Piso en venta en Centro-Echegaray,Centro-Echegaray (Pontevedra Capital),375000,165.0,5.0,3.0,,En buen estado,0,0,0,0,Gas natural,0,0,0
797,"Piso en venta en Calle de Urzáiz, cerca de Calle Cuba",Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),269000,137.0,5.0,3.0,Planta: 3ª,En buen estado,Entre 60 y 80€,0,1,0,No tiene,1,0,0
798,Piso en venta en Cangas,Cangas,195000,120.0,3.0,2.0,,En buen estado,0,1,0,0,No tiene,0,1,1
799,Piso en venta en A Estrada,A Estrada,41000,104.0,4.0,2.0,Planta: 2ª,En buen estado,0,0,0,0,No tiene,0,1,0
800,"Piso en venta en Avenida Vigo, 24, cerca de Camiño Real de Angorén",Chapela (San Fausto). Municipio de Redondela,138000,70.0,2.0,1.0,Planta: 2ª,En buen estado,Entre 40 y 60€,0,0,0,No tiene,1,0,0
801,Piso en venta en Calle de Brasilino Álvarez Sobrino,A Guarda,69000,73.0,2.0,1.0,Planta: 2ª,En buen estado,0,0,0,0,No tiene,0,1,1
802,Apartamento en venta en Centro,Centro-Echegaray (Pontevedra Capital),215000,72.0,2.0,1.0,Planta: 4ª,En buen estado,Entre 40 y 60€,1,0,1,No tiene,0,0,0
803,Piso en venta en Arcos de Condesa,Arcos de Condesa (Caldas de Reis),135000,100.0,3.0,2.0,Planta: 1ª,En buen estado,55€,1,1,1,Gas natural,1,0,0
804,Piso en venta en Bembrive,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),174900,82.0,4.0,2.0,Planta: Bajo,En buen estado,0,0,0,0,No tiene,1,0,0
805,"Piso en venta en Carretera de Redondela, 148",Teis (Vigo),155000,61.0,2.0,2.0,Planta: 1ª,A estrenar,0,1,0,1,Gas natural,1,0,0
806,Piso en venta en Teis,Teis (Vigo),160000,75.0,4.0,1.0,Planta: 1ª,En buen estado,Entre 40 y 60€,1,0,0,No tiene,0,0,0
807,Piso en venta en Castrelos-Balaídos-Miñoca,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),165000,100.0,4.0,2.0,Planta: 5ª,En buen estado,50.00 euros. sin consumos incluidos,1,0,0,Gas individual,0,1,1
808,Piso en venta en Costa del Sol,A Guarda,150000,92.0,3.0,2.0,Planta: Bajo,En buen estado,0,1,0,0,No tiene,1,0,0
809,Piso en venta en Campo Da Torre-Mollabao,Campo da Torre-Mollabao (Pontevedra Capital),295000,102.0,3.0,2.0,Planta: 2ª,En buen estado,0,1,0,1,Gas natural,1,0,0
810,Piso en venta en Ponteareas,Ponteareas,85000,85.0,2.0,2.0,Planta: 2ª,En buen estado,Comunidad incluida en el precio. agua caliente,1,0,1,"Si, sin especificar",1,0,0
811,Piso en venta en Rúa de Valentin Paz Andrade,O Burgo-Campus Universitario (Pontevedra Capital),206000,95.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,0,Calefaccion de gas radiadores,1,1,0
812,Piso en venta en Coia,Coia (Distrito Casco Urbano. Vigo),190000,109.0,3.0,2.0,Planta: 10ª,En buen estado,0,1,1,1,"Si, sin especificar",1,0,0
813,Piso en venta en Centro-Areal,Centro-Areal (Distrito Casco Urbano. Vigo),330000,97.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,0,No tiene,1,0,0
814,Piso en venta en Calle Leopoldo Novoa García,Raxo (San Gregorio). Municipio de Poio,185000,90.0,3.0,2.0,Planta: 2ª,En buen estado,Entre 40 y 60€,1,0,1,No tiene,1,1,0
815,"Piso en venta en Avenida de Gondomar, 44",Tomiño,110000,60.0,2.0,1.0,Planta: 2ª,En buen estado,Entre 10 y 20€,1,0,0,Central,1,1,0
816,Piso en venta en Rúa Vigo,Sanxenxo,295000,78.0,2.0,2.0,Planta: Bajo,A estrenar,0,0,0,0,Calefacción individual,0,1,0
817,Piso en venta en Calle del Mestre Montes,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),165000,101.0,4.0,2.0,Planta: 3ª,En buen estado,0,0,0,1,No tiene,1,0,0
818,Piso en venta en Salceda de Caselas,Salceda de Caselas,95000,80.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,0,Propano,1,0,0
819,Piso en venta en Baiona,Baiona,230000,78.0,2.0,2.0,Planta: 2ª,En buen estado,65.00 euros.,1,0,1,Gas individual,1,0,0
820,Piso en venta en Calle de Portugal,Mondariz,98000,98.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Gas natural,1,1,0
821,Apartamento en venta en Rúa Otero Pedraio,A Cañiza,43500,67.0,1.0,1.0,Planta: 2ª,En buen estado,0,0,0,0,No tiene,0,0,0
822,Piso en venta en Cangas,Cangas,278000,106.0,3.0,2.0,Planta: 5ª,En buen estado,Garaje 75 €,1,0,1,Gas natural,1,1,0
823,Piso en venta en Calle de Nogueira,Casablanca-Calvario (Distrito Casco Urbano. Vigo),130000,90.0,3.0,1.0,,En buen estado,30.00 euros.,0,0,0,No tiene,0,0,0
824,"Piso en venta en Calle de San Roque, 5, cerca de Baixada de San Roque",A Salgueira-O Castaño (Distrito Casco Urbano. Vigo),242000,92.0,2.0,2.0,Planta: 6ª,A estrenar,0,1,0,1,Energía renovable,0,1,0
825,"Piso en venta en Paseo de la Praia de Silgar, cerca de Rúa Traseira Vigo",Sanxenxo,235000,70.0,2.0,1.0,Planta: 6ª,En buen estado,40,0,0,1,No tiene,1,0,1
826,Piso en venta en Rúa Río Valiejos,Adina (Santa María). Municipio de Sanxenxo,345000,90.0,2.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Gas natural,1,1,0
827,Piso en venta en Avda. Portanet,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),170000,70.0,2.0,1.0,Planta: 1ª,En buen estado,0,1,0,0,Central,1,0,0
828,Piso en venta en Calle de Brasilino Álvarez Sobrino,A Guarda,75000,90.0,2.0,1.0,Planta: 1ª,En buen estado,0,0,0,0,Gasóleo individual,1,0,0
829,Piso en venta en Rúa Ramon Cabanillas,Mosteiro (Meis),150000,100.0,3.0,2.0,Planta: 4ª,En buen estado,40,1,0,1,Gas ciudad,1,1,1
830,Apartamento en venta en Castrelos-Balaídos-Miñoca,Sardoma-Castrelos (Vigo),130000,38.0,1.0,1.0,Planta: 1ª,A estrenar,0,1,0,1,Gas individual,0,0,0
831,Piso en venta en Calle Camelio,Ponteareas,118000,105.0,4.0,2.0,Planta: 2ª,En buen estado,Entre 40 y 60€,1,0,0,Eléctrica,0,0,0
832,Piso en venta en Aragón-Travesía,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),149000,93.0,2.0,1.0,Planta: 9ª,A reformar,0,1,0,1,"Si, sin especificar",0,0,0
833,Piso en venta en Calle del Pintor Colmeiro,Praza da Independencia (Distrito Casco Urbano. Vigo),345000,140.0,3.0,2.0,Planta: 4ª,En buen estado,0,1,0,1,Gasóleo individual,1,0,1
834,Piso en venta en Vilagarcía de Arousa,Vilagarcía de Arousa,240000,250.0,6.0,2.0,Planta: 4ª,En buen estado,Entre 40 y 60€,1,0,1,Eléctrica,0,1,1
835,Piso en venta en Calle de Rosario,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),285000,120.0,3.0,2.0,Planta: 1ª,En buen estado,80.00 euros.,1,0,1,Gas individual,1,0,0
836,Piso en venta en Camelias-Gran Vía-Hispanidad,Praza da Independencia (Distrito Casco Urbano. Vigo),176000,77.0,2.0,1.0,Planta: 1ª,En buen estado,40.00 euros.,0,0,1,Eléctrica,0,0,0
837,Piso en venta en Calle del Alcalde Ezequiel Massoni,Marín (Escuela Naval Militar),75000,98.0,3.0,2.0,Planta: 2ª,A reformar,Entre 20 y 40€,1,0,0,No tiene,0,0,1
838,Piso en venta en Calle de las Illas Baleares,Casco Urbano (Vigo),183000,93.0,3.0,1.0,Planta: 3ª,En buen estado,Entre 40 y 60€,0,0,0,Gas natural,1,0,0
839,"Piso en venta en Calle de San Roque, 5, cerca de Baixada de San Roque",A Salgueira-O Castaño (Distrito Casco Urbano. Vigo),242000,97.0,2.0,2.0,Planta: 6ª,A estrenar,0,1,0,1,Energía renovable,0,1,0
840,Piso en venta en Navia,Alcabre-Navia-Comesaña (Vigo),270000,100.0,3.0,2.0,Planta: Bajo,En buen estado,0,1,0,0,No tiene,1,0,0
841,Piso en venta en Rúa Cordón,O Burgo-Campus Universitario (Pontevedra Capital),185000,101.0,3.0,2.0,Planta: 3ª,En buen estado,0,0,0,0,No tiene,0,0,0
842,Piso en venta en Calle Vilar,Tomiño,63000,80.0,,,Planta: Bajo,A reformar,0,0,0,0,No tiene,0,0,0
843,Piso en venta en Camelias-Gran Vía-Hispanidad,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),490000,170.0,3.0,2.0,Planta: 8ª,En buen estado,50.00 euros.,1,0,0,Gasóleo individual,0,1,1
844,Piso en venta en Chapela,Chapela (San Fausto). Municipio de Redondela,49000,100.0,2.0,1.0,Planta: 3ª,A reformar,0,0,0,0,Eléctrica,0,0,0
845,Piso en venta en Rúa Médico Ballina,O Burgo-Campus Universitario (Pontevedra Capital),158000,100.0,2.0,2.0,Planta: 1ª,En buen estado,0,0,0,0,No tiene,0,0,0
846,Piso en venta en Calle Isidoro Enes,Mondariz-Balneario,88000,110.0,3.0,2.0,Planta: 1ª,En buen estado,0,0,0,0,No tiene,0,0,0
847,Apartamento en venta en Camelias-Gran Vía-Hispanidad,Praza da Independencia (Distrito Casco Urbano. Vigo),125000,45.0,1.0,1.0,,En buen estado,0,1,0,1,Gas individual,1,1,0
848,Piso en venta en Plaza de Portugal,Centro-Areal (Distrito Casco Urbano. Vigo),335000,139.0,3.0,2.0,Planta: 7ª,En buen estado,190,0,0,1,Calefacción central,0,0,0
849,Piso en venta en Calle de Fray Juan Navarrete,Zona Praza de Barcelos (Pontevedra Capital),245000,136.0,4.0,2.0,Planta: 4ª,En buen estado,0,0,0,0,No tiene,0,0,0
850,Apartamento en venta en Centro,Moaña (Resto Parroquia),150000,80.0,2.0,2.0,Planta: 2ª,En buen estado,0,1,0,0,Eléctrica,1,1,1
851,"Piso en venta en Calle de Tomás Mirambell, 4",Baiona,230000,85.0,3.0,2.0,Planta: 3ª,En buen estado,Entre 40 y 60€,1,1,1,No tiene,1,0,0
852,Piso en venta en Travesía de la Feira,A Cañiza,90000,86.0,3.0,1.0,Planta: 1ª,En buen estado,0,1,0,0,No tiene,1,0,0
853,Piso en venta en Praza da Independencia,Praza da Independencia (Distrito Casco Urbano. Vigo),325000,146.0,4.0,2.0,Planta: 4ª,En buen estado,0,1,1,1,Central,1,0,0
854,Piso en venta en Teis,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),205000,83.0,3.0,2.0,Planta: 3ª,En buen estado,54.00 euros.,1,0,1,Gas individual,0,0,1
855,Piso en venta en Calle de Barbeito,Adina (Santa María). Municipio de Sanxenxo,155000,69.0,2.0,2.0,Planta: 1ª,En buen estado,0,0,0,0,No tiene,0,0,0
856,Piso en venta en Mondariz,Mondariz,97900,114.0,3.0,2.0,Planta: 3ª,En buen estado,0,0,0,0,No tiene,1,1,0
857,Piso en venta en Calle Trasversal Levada,A Guarda,75000,120.0,3.0,1.0,Planta: 2ª,En buen estado,0,1,0,0,No tiene,0,0,1
858,Piso en venta en Centro-Areal,Centro-Areal (Distrito Casco Urbano. Vigo),369000,102.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,1,1,No tiene,1,1,0
859,Piso en venta en As Travesas-Balaídos,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),270000,100.0,3.0,2.0,,En buen estado,0,0,0,0,No tiene,1,0,0
860,Piso en venta en Fernández Ladreda-Ciudad de Piedra,Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),250000,100.0,3.0,2.0,Planta: 4ª,En buen estado,0,1,0,1,No tiene,1,0,0
861,Piso en venta en Plaza Das Regas,A Seca-Os Salgueriños (Pontevedra Capital),195000,113.0,3.0,2.0,Planta: 4ª,En buen estado,Entre 20 y 40€,1,0,1,Gas natural,1,0,0
862,Apartamento en venta en Zona María Victoria Moreno,Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),205000,82.0,2.0,2.0,Planta: 5ª,En buen estado,0,1,0,1,Gas natural,1,1,0
863,Piso en venta en Calle de Redomeira,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),127700,62.0,3.0,2.0,,En buen estado,0,0,1,0,No tiene,0,1,0
864,"Piso en venta en Avenida Doctor Otero Ulloa, nº 145",Aguete (Marín),128200,157.0,2.0,2.0,Planta: 2ª,En buen estado,0,1,0,1,Eléctrica,1,1,1
865,Piso en venta en Travesía de la Feira,A Cañiza,80000,92.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Eléctrica,1,0,0
866,Piso en venta en Centro-Echegaray,Centro-Echegaray (Pontevedra Capital),260000,97.0,3.0,2.0,Planta: 7ª,En buen estado,0,1,0,1,No tiene,1,0,0
867,Piso en venta en Arenal-Centro,Centro-Areal (Distrito Casco Urbano. Vigo),369000,100.0,3.0,2.0,Planta: 1ª,A estrenar,0,1,1,1,Suelo radiante,1,1,0
868,Apartamento en venta en Teis,Matamá-Beade-Bembrive-Valadares-Zamáns (Vigo),119000,33.0,1.0,1.0,Planta: 1ª,En buen estado,18.00 euros.,1,0,0,Gas individual,1,0,0
869,Piso en venta en Calle del Canario,Casablanca-Calvario (Distrito Casco Urbano. Vigo),230000,139.0,4.0,2.0,Planta: 5ª,En buen estado,Entre 60 y 80€,1,1,0,No tiene,1,0,0
870,"Piso en venta en Avenida del Outeiro, 26",Raxo (San Gregorio). Municipio de Poio,113300,82.0,3.0,2.0,Planta: Principal,En buen estado,0,1,0,1,No tiene,1,0,0
871,Piso en venta en Vilagarcía de Arousa,Vilagarcía de Arousa,95000,80.0,2.0,1.0,Planta: 1ª,En buen estado,Entre 40 y 60€,1,0,1,Eléctrica,0,0,1
872,Piso en venta en Bouzas,Bouzas (Distrito Casco Urbano. Vigo),160000,130.0,3.0,2.0,Planta: 2ª,A reformar,60.00 euros. sin consumos incluidos,0,0,1,Gas individual,0,0,0
